sid,habitat,lifeform
126,P,Therophyte
127,H,Hemicryptophyte
128,H,Chamaephyte
129,H,Chamaephyte
130,C,Chamaephyte
131,H,Chamaephyte
131,P,Chamaephyte
132,P,Chamaephyte
133,H,Chamaephyte
133,P,Chamaephyte
134,H,Chamaephyte
134,P,Chamaephyte
135,R,Phanerophyte
136,A,Hemicryptophyte
136,R,Hemicryptophyte
137,G,Hemicryptophyte
138,G,Hemicryptophyte
139,G,Hemicryptophyte
140,G,Hemicryptophyte
141,G,Hemicryptophyte
141,R,Hemicryptophyte
142,G,Therophyte
142,R,Therophyte
143,R,Therophyte
144,G,Therophyte
145,A,Hemicryptophyte
146,G,Hemicryptophyte
147,G,Hemicryptophyte
147,R,Hemicryptophyte
148,A,Geophyte (Cryptophyte)
148,G,Geophyte (Cryptophyte)
149,R,Hemicryptophyte
150,H,Hemicryptophyte
151,A,Hemicryptophyte
151,G,Hemicryptophyte
152,A,Hemicryptophyte
152,G,Hemicryptophyte
153,G,Hemicryptophyte
154,R,Phanerophyte
155,G,Therophyte
156,G,Therophyte
157,G,Therophyte
158,P,Therophyte
158,R,Therophyte
159,P,Therophyte
160,P,Therophyte
162,G,Therophyte
163,R,Therophyte
164,P,Hemicryptophyte
166,R,Therophyte
167,P,Hemicryptophyte
167,R,Hemicryptophyte
168,P,Hemicryptophyte
169,G,Geophyte (Cryptophyte)
170,P,Hemicryptophyte
170,R,Hemicryptophyte
171,G,Hemicryptophyte
171,W,Hemicryptophyte
172,R,Hemicryptophyte
172,W,Hemicryptophyte
173,W,Hemicryptophyte
174,W,Geophyte (Cryptophyte)
175,W,Geophyte (Cryptophyte)
176,G,Hemicryptophyte
177,R,Hemicryptophyte
178,R,Hemicryptophyte
179,R,Hemicryptophyte
180,C,Hemicryptophyte
180,R,Hemicryptophyte
181,R,Hemicryptophyte
182,R,Hemicryptophyte
183,R,Hemicryptophyte
184,A,Hemicryptophyte
185,C,Hemicryptophyte
185,H,Hemicryptophyte
186,A,Hemicryptophyte
186,C,Hemicryptophyte
187,A,Hemicryptophyte
187,G,Hemicryptophyte
188,H,Hemicryptophyte
189,H,Hemicryptophyte
190,H,Hemicryptophyte
191,A,Hemicryptophyte
192,H,Hemicryptophyte
193,A,Hemicryptophyte
194,A,Hemicryptophyte
194,H,Hemicryptophyte
195,A,Hemicryptophyte
196,H,Hemicryptophyte
197,A,Hemicryptophyte
198,G,Hemicryptophyte
198,H,Hemicryptophyte
199,H,Hemicryptophyte
200,A,Hemicryptophyte
201,G,Hemicryptophyte
201,H,Hemicryptophyte
202,A,Hemicryptophyte
202,H,Hemicryptophyte
203,A,Hemicryptophyte
204,G,Hemicryptophyte
204,H,Hemicryptophyte
205,A,Hemicryptophyte
206,H,Hemicryptophyte
207,H,Hemicryptophyte
208,G,Hemicryptophyte
208,H,Hemicryptophyte
209,A,Aquatic
210,M,Phanerophyte
211,A,Aquatic
212,A,Aquatic
213,A,Aquatic
214,P,Hemicryptophyte
214,W,Hemicryptophyte
215,P,Hemicryptophyte
216,G,Hemicryptophyte
217,G,Hemicryptophyte
218,G,Hemicryptophyte
219,G,Hemicryptophyte
220,C,Hemicryptophyte
221,G,Hemicryptophyte
222,G,Hemicryptophyte
222,H,Hemicryptophyte
223,G,Hemicryptophyte
224,G,Hemicryptophyte
225,G,Hemicryptophyte
226,G,Hemicryptophyte
227,G,Hemicryptophyte
228,M,Hemicryptophyte
229,P,Hemicryptophyte
230,P,Hemicryptophyte
231,G,Hemicryptophyte
232,G,Hemicryptophyte
232,M,Hemicryptophyte
232,P,Hemicryptophyte
233,M,Hemicryptophyte
233,P,Hemicryptophyte
234,G,Hemicryptophyte
234,M,Hemicryptophyte
234,P,Hemicryptophyte
235,P,Hemicryptophyte
236,R,Hemicryptophyte
237,R,Hemicryptophyte
238,C,Geophyte (Cryptophyte)
238,P,Geophyte (Cryptophyte)
239,G,Geophyte (Cryptophyte)
240,P,Geophyte (Cryptophyte)
240,R,Geophyte (Cryptophyte)
241,R,Geophyte (Cryptophyte)
242,G,Geophyte (Cryptophyte)
243,P,Geophyte (Cryptophyte)
244,G,Geophyte (Cryptophyte)
245,P,Geophyte (Cryptophyte)
246,R,Geophyte (Cryptophyte)
247,G,Geophyte (Cryptophyte)
248,C,Geophyte (Cryptophyte)
248,P,Geophyte (Cryptophyte)
249,C,Geophyte (Cryptophyte)
250,C,Geophyte (Cryptophyte)
251,C,Geophyte (Cryptophyte)
251,P,Geophyte (Cryptophyte)
252,P,Geophyte (Cryptophyte)
253,C,Geophyte (Cryptophyte)
253,P,Geophyte (Cryptophyte)
254,P,Geophyte (Cryptophyte)
254,W,Geophyte (Cryptophyte)
255,C,Geophyte (Cryptophyte)
256,C,Geophyte (Cryptophyte)
256,P,Geophyte (Cryptophyte)
257,P,Geophyte (Cryptophyte)
258,C,Geophyte (Cryptophyte)
258,P,Geophyte (Cryptophyte)
259,P,Geophyte (Cryptophyte)
259,W,Geophyte (Cryptophyte)
260,G,Geophyte (Cryptophyte)
261,P,Geophyte (Cryptophyte)
262,P,Geophyte (Cryptophyte)
263,P,Geophyte (Cryptophyte)
264,P,Geophyte (Cryptophyte)
265,P,Geophyte (Cryptophyte)
266,G,Geophyte (Cryptophyte)
267,G,Geophyte (Cryptophyte)
268,M,Geophyte (Cryptophyte)
269,R,Geophyte (Cryptophyte)
270,R,Geophyte (Cryptophyte)
271,C,Geophyte (Cryptophyte)
271,W,Geophyte (Cryptophyte)
272,G,Geophyte (Cryptophyte)
273,P,Geophyte (Cryptophyte)
274,P,Geophyte (Cryptophyte)
275,P,Geophyte (Cryptophyte)
276,G,Geophyte (Cryptophyte)
277,G,Geophyte (Cryptophyte)
277,H,Geophyte (Cryptophyte)
277,W,Geophyte (Cryptophyte)
278,G,Geophyte (Cryptophyte)
278,H,Geophyte (Cryptophyte)
279,G,Geophyte (Cryptophyte)
279,W,Geophyte (Cryptophyte)
280,H,Geophyte (Cryptophyte)
281,P,Geophyte (Cryptophyte)
282,G,Geophyte (Cryptophyte)
283,G,Geophyte (Cryptophyte)
283,P,Geophyte (Cryptophyte)
284,G,Geophyte (Cryptophyte)
285,G,Geophyte (Cryptophyte)
285,P,Geophyte (Cryptophyte)
286,G,Geophyte (Cryptophyte)
286,P,Geophyte (Cryptophyte)
287,C,Geophyte (Cryptophyte)
287,W,Geophyte (Cryptophyte)
288,P,Geophyte (Cryptophyte)
289,P,Geophyte (Cryptophyte)
290,P,Geophyte (Cryptophyte)
291,P,Geophyte (Cryptophyte)
292,P,Geophyte (Cryptophyte)
293,P,Geophyte (Cryptophyte)
294,P,Geophyte (Cryptophyte)
295,P,Geophyte (Cryptophyte)
296,P,Geophyte (Cryptophyte)
297,P,Geophyte (Cryptophyte)
298,G,Geophyte (Cryptophyte)
298,H,Geophyte (Cryptophyte)
299,M,Geophyte (Cryptophyte)
300,H,Geophyte (Cryptophyte)
301,G,Geophyte (Cryptophyte)
302,P,Geophyte (Cryptophyte)
303,G,Geophyte (Cryptophyte)
303,H,Geophyte (Cryptophyte)
304,R,Geophyte (Cryptophyte)
305,R,Geophyte (Cryptophyte)
306,P,Geophyte (Cryptophyte)
307,G,Geophyte (Cryptophyte)
307,R,Geophyte (Cryptophyte)
308,M,Geophyte (Cryptophyte)
309,G,Geophyte (Cryptophyte)
309,H,Geophyte (Cryptophyte)
310,W,Geophyte (Cryptophyte)
311,P,Geophyte (Cryptophyte)
311,R,Geophyte (Cryptophyte)
312,R,Geophyte (Cryptophyte)
312,W,Geophyte (Cryptophyte)
313,R,Geophyte (Cryptophyte)
313,W,Geophyte (Cryptophyte)
314,M,Geophyte (Cryptophyte)
315,H,Geophyte (Cryptophyte)
316,H,Geophyte (Cryptophyte)
317,P,Geophyte (Cryptophyte)
318,P,Geophyte (Cryptophyte)
319,C,Geophyte (Cryptophyte)
320,P,Geophyte (Cryptophyte)
321,C,Geophyte (Cryptophyte)
322,W,Geophyte (Cryptophyte)
323,H,Geophyte (Cryptophyte)
324,G,Geophyte (Cryptophyte)
324,R,Geophyte (Cryptophyte)
325,G,Geophyte (Cryptophyte)
325,R,Geophyte (Cryptophyte)
326,G,Geophyte (Cryptophyte)
326,R,Geophyte (Cryptophyte)
327,P,Geophyte (Cryptophyte)
328,R,Geophyte (Cryptophyte)
329,R,Geophyte (Cryptophyte)
330,P,Geophyte (Cryptophyte)
331,P,Geophyte (Cryptophyte)
332,P,Geophyte (Cryptophyte)
333,P,Geophyte (Cryptophyte)
334,C,Geophyte (Cryptophyte)
334,M,Geophyte (Cryptophyte)
335,H,Geophyte (Cryptophyte)
336,R,Geophyte (Cryptophyte)
337,W,Geophyte (Cryptophyte)
339,G,Geophyte (Cryptophyte)
339,P,Geophyte (Cryptophyte)
339,R,Geophyte (Cryptophyte)
340,R,Geophyte (Cryptophyte)
341,G,Geophyte (Cryptophyte)
341,P,Geophyte (Cryptophyte)
341,R,Geophyte (Cryptophyte)
342,P,Geophyte (Cryptophyte)
343,W,Geophyte (Cryptophyte)
344,M,Geophyte (Cryptophyte)
345,H,Geophyte (Cryptophyte)
346,P,Geophyte (Cryptophyte)
346,W,Geophyte (Cryptophyte)
347,C,Geophyte (Cryptophyte)
347,M,Geophyte (Cryptophyte)
348,P,Geophyte (Cryptophyte)
349,P,Geophyte (Cryptophyte)
350,R,Geophyte (Cryptophyte)
351,W,Geophyte (Cryptophyte)
352,W,Geophyte (Cryptophyte)
353,G,Geophyte (Cryptophyte)
353,R,Geophyte (Cryptophyte)
354,A,Phanerophyte
354,W,Phanerophyte
355,W,Phanerophyte
356,C,Phanerophyte
356,R,Phanerophyte
358,A,Hemicryptophyte
358,R,Hemicryptophyte
360,A,Therophyte
361,H,Hemicryptophyte
362,A,Hemicryptophyte
363,H,Geophyte (Cryptophyte)
364,R,Therophyte
365,A,Hemicryptophyte
366,A,Therophyte
367,A,Therophyte
368,P,Therophyte
370,R,Hemicryptophyte
371,A,Hemicryptophyte
371,M,Hemicryptophyte
372,A,Aquatic
372,M,Aquatic
373,A,Aquatic
373,M,Aquatic
374,C,Chamaephyte
375,G,Chamaephyte
375,H,Chamaephyte
376,G,Chamaephyte
377,G,Chamaephyte
377,H,Chamaephyte
378,G,Therophyte
379,H,Chamaephyte
380,P,Hemicryptophyte
380,W,Hemicryptophyte
381,G,Hemicryptophyte
381,H,Hemicryptophyte
382,G,Therophyte
382,P,Therophyte
383,P,Therophyte
384,H,Hemicryptophyte
385,H,Hemicryptophyte
386,H,Chamaephyte
387,H,Chamaephyte
388,G,Therophyte
388,P,Therophyte
389,G,Chamaephyte
389,H,Chamaephyte
390,G,Chamaephyte
390,H,Chamaephyte
391,G,Chamaephyte
391,H,Chamaephyte
392,P,Therophyte
393,H,Hemicryptophyte
394,G,Therophyte
394,H,Therophyte
395,G,Therophyte
395,P,Therophyte
395,R,Therophyte
396,G,Therophyte
396,P,Therophyte
397,P,Therophyte
398,H,Chamaephyte
399,P,Therophyte
399,R,Therophyte
400,H,Hemicryptophyte
401,P,Therophyte
401,R,Therophyte
402,P,Therophyte
402,R,Therophyte
403,P,Therophyte
403,R,Therophyte
404,R,Therophyte
405,R,Therophyte
406,R,Therophyte
407,R,Therophyte
408,R,Therophyte
409,R,Therophyte
410,R,Hemicryptophyte
412,R,Therophyte
413,R,Therophyte
414,R,Therophyte
415,R,Therophyte
416,R,Therophyte
417,R,Therophyte
418,R,Hemicryptophyte
419,R,Therophyte
420,R,Therophyte
421,R,Therophyte
422,R,Therophyte
423,R,Therophyte
424,R,Therophyte
426,R,Therophyte
427,M,Therophyte
428,R,Hemicryptophyte
429,C,Phanerophyte
429,H,Phanerophyte
429,W,Phanerophyte
430,C,Phanerophyte
431,H,Phanerophyte
432,C,Phanerophyte
432,W,Phanerophyte
433,C,Phanerophyte
433,W,Phanerophyte
434,C,Phanerophyte
435,R,Therophyte
436,R,Therophyte
437,R,Therophyte
438,R,Therophyte
439,R,Therophyte
440,R,Hemicryptophyte
441,R,Therophyte
442,M,Geophyte (Cryptophyte)
443,M,Geophyte (Cryptophyte)
444,R,Phanerophyte
445,P,Hemicryptophyte
446,R,Therophyte
447,R,Therophyte
448,A,Aquatic
449,P,Geophyte (Cryptophyte)
450,P,Geophyte (Cryptophyte)
451,G,Geophyte (Cryptophyte)
451,P,Geophyte (Cryptophyte)
452,G,Geophyte (Cryptophyte)
453,P,Geophyte (Cryptophyte)
454,A,Geophyte (Cryptophyte)
455,A,Geophyte (Cryptophyte)
455,G,Geophyte (Cryptophyte)
456,A,Geophyte (Cryptophyte)
456,G,Geophyte (Cryptophyte)
457,A,Geophyte (Cryptophyte)
458,A,Geophyte (Cryptophyte)
459,A,Geophyte (Cryptophyte)
460,P,Geophyte (Cryptophyte)
461,P,Geophyte (Cryptophyte)
462,P,Geophyte (Cryptophyte)
463,P,Geophyte (Cryptophyte)
464,G,Geophyte (Cryptophyte)
464,P,Geophyte (Cryptophyte)
465,P,Geophyte (Cryptophyte)
466,R,Therophyte
469,A,Therophyte
471,A,Hemicryptophyte
472,R,Phanerophyte
473,P,Therophyte
473,R,Therophyte
474,R,Hemicryptophyte
475,H,Chamaephyte
476,R,Hemicryptophyte
477,R,Hemicryptophyte
478,G,Hemicryptophyte
479,R,Hemicryptophyte
480,R,Hemicryptophyte
481,R,Therophyte
482,M,Hemicryptophyte
483,P,Hemicryptophyte
483,R,Hemicryptophyte
484,R,Therophyte
485,R,Therophyte
486,R,Therophyte
487,R,Therophyte
488,M,Hemicryptophyte
488,P,Hemicryptophyte
488,R,Hemicryptophyte
489,P,Hemicryptophyte
489,R,Hemicryptophyte
490,M,Hemicryptophyte
490,R,Hemicryptophyte
491,R,Hemicryptophyte
492,P,Therophyte
492,R,Therophyte
493,P,Therophyte
493,R,Therophyte
494,H,Chamaephyte
494,P,Chamaephyte
495,P,Geophyte (Cryptophyte)
496,P,Hemicryptophyte
497,R,Therophyte
498,H,Hemicryptophyte
499,M,Therophyte
499,P,Therophyte
499,R,Therophyte
500,G,Geophyte (Cryptophyte)
500,W,Geophyte (Cryptophyte)
501,G,Geophyte (Cryptophyte)
501,W,Geophyte (Cryptophyte)
502,G,Geophyte (Cryptophyte)
502,W,Geophyte (Cryptophyte)
503,P,Geophyte (Cryptophyte)
503,R,Geophyte (Cryptophyte)
504,P,Geophyte (Cryptophyte)
504,W,Geophyte (Cryptophyte)
505,P,Geophyte (Cryptophyte)
505,W,Geophyte (Cryptophyte)
506,W,Geophyte (Cryptophyte)
507,G,Geophyte (Cryptophyte)
507,P,Geophyte (Cryptophyte)
507,W,Geophyte (Cryptophyte)
508,W,Geophyte (Cryptophyte)
509,R,Therophyte
510,A,Hemicryptophyte
511,C,Therophyte
511,P,Therophyte
512,R,Hemicryptophyte
513,H,Chamaephyte
514,H,Hemicryptophyte
515,G,Hemicryptophyte
516,R,Therophyte
517,P,Therophyte
518,C,Therophyte
518,M,Therophyte
519,C,Therophyte
519,M,Therophyte
520,C,Therophyte
520,M,Therophyte
521,R,Therophyte
522,R,Therophyte
523,R,Therophyte
524,R,Therophyte
525,G,Hemicryptophyte
525,R,Hemicryptophyte
526,R,Therophyte
527,G,Therophyte
528,G,Therophyte
528,P,Therophyte
528,R,Therophyte
529,G,Therophyte
529,R,Therophyte
530,R,Therophyte
531,C,Hemicryptophyte
531,G,Hemicryptophyte
531,H,Hemicryptophyte
532,G,Hemicryptophyte
533,H,Hemicryptophyte
534,C,Hemicryptophyte
534,G,Hemicryptophyte
535,C,Hemicryptophyte
535,G,Hemicryptophyte
536,G,Hemicryptophyte
537,P,Therophyte
538,M,Therophyte
539,G,Hemicryptophyte
540,G,Therophyte
541,G,Therophyte
542,G,Therophyte
543,P,Therophyte
544,P,Therophyte
545,G,Therophyte
546,G,Hemicryptophyte
547,P,Therophyte
547,R,Therophyte
548,P,Hemicryptophyte
549,C,Hemicryptophyte
549,H,Hemicryptophyte
550,R,Therophyte
550,W,Therophyte
551,P,Hemicryptophyte
552,M,Hemicryptophyte
552,P,Hemicryptophyte
552,R,Hemicryptophyte
553,M,Hemicryptophyte
554,P,Hemicryptophyte
555,P,Hemicryptophyte
556,P,Hemicryptophyte
557,M,Hemicryptophyte
557,P,Hemicryptophyte
557,R,Hemicryptophyte
558,M,Hemicryptophyte
558,P,Hemicryptophyte
559,G,Therophyte
560,R,Therophyte
561,C,Hemicryptophyte
562,M,Therophyte
563,R,Therophyte
564,W,Hemicryptophyte
565,H,Hemicryptophyte
566,C,Hemicryptophyte
566,H,Hemicryptophyte
567,G,Hemicryptophyte
567,H,Hemicryptophyte
567,R,Hemicryptophyte
568,G,Hemicryptophyte
568,H,Hemicryptophyte
569,G,Hemicryptophyte
569,R,Hemicryptophyte
570,P,Therophyte
571,M,Therophyte
572,M,Therophyte
573,G,Hemicryptophyte
573,W,Hemicryptophyte
574,M,Therophyte
574,P,Therophyte
575,M,Therophyte
576,M,Therophyte
576,P,Therophyte
577,P,Hemicryptophyte
577,R,Hemicryptophyte
578,G,Geophyte (Cryptophyte)
578,W,Geophyte (Cryptophyte)
579,H,Therophyte
580,P,Therophyte
581,G,Hemicryptophyte
581,W,Hemicryptophyte
582,M,Therophyte
583,R,Therophyte
584,R,Therophyte
585,W,Hemicryptophyte
586,R,Hemicryptophyte
586,W,Hemicryptophyte
587,R,Hemicryptophyte
588,R,Hemicryptophyte
588,W,Hemicryptophyte
589,R,Hemicryptophyte
590,W,Therophyte
591,C,Chamaephyte
591,H,Chamaephyte
592,P,Chamaephyte
592,W,Chamaephyte
593,H,Chamaephyte
594,H,Chamaephyte
595,C,Hemicryptophyte
596,G,Hemicryptophyte
596,H,Hemicryptophyte
596,P,Hemicryptophyte
596,R,Hemicryptophyte
597,G,Hemicryptophyte
597,H,Hemicryptophyte
598,G,Hemicryptophyte
598,H,Hemicryptophyte
599,G,Hemicryptophyte
599,H,Hemicryptophyte
600,H,Hemicryptophyte
601,P,Hemicryptophyte
601,R,Hemicryptophyte
602,H,Hemicryptophyte
603,A,Therophyte
604,C,Chamaephyte
604,R,Chamaephyte
605,C,Chamaephyte
605,R,Chamaephyte
606,C,Chamaephyte
607,C,Hemicryptophyte
607,R,Hemicryptophyte
608,G,Therophyte
609,R,Therophyte
610,R,Therophyte
611,G,Therophyte
611,P,Therophyte
611,R,Therophyte
612,P,Therophyte
613,P,Therophyte
613,R,Therophyte
614,A,Hemicryptophyte
615,M,Chamaephyte
616,W,Hemicryptophyte
617,C,Hemicryptophyte
617,W,Hemicryptophyte
618,C,Hemicryptophyte
619,C,Hemicryptophyte
619,W,Hemicryptophyte
620,H,Hemicryptophyte
620,W,Hemicryptophyte
621,W,Hemicryptophyte
623,G,Therophyte
623,R,Therophyte
624,C,Hemicryptophyte
624,H,Hemicryptophyte
625,G,Therophyte
625,H,Therophyte
626,C,Hemicryptophyte
626,H,Hemicryptophyte
627,G,Hemicryptophyte
627,W,Hemicryptophyte
628,H,Hemicryptophyte
629,H,Hemicryptophyte
629,W,Hemicryptophyte
630,W,Hemicryptophyte
631,G,Hemicryptophyte
631,W,Hemicryptophyte
632,H,Hemicryptophyte
633,W,Hemicryptophyte
634,H,Hemicryptophyte
635,G,Hemicryptophyte
635,H,Hemicryptophyte
636,W,Hemicryptophyte
637,P,Therophyte
637,R,Therophyte
638,R,Phanerophyte
639,W,Phanerophyte
640,W,Phanerophyte
641,W,Phanerophyte
642,R,Hemicryptophyte
643,R,Hemicryptophyte
644,R,Hemicryptophyte
645,R,Hemicryptophyte
647,M,Therophyte
647,R,Therophyte
648,W,Hemicryptophyte
649,W,Hemicryptophyte
650,W,Hemicryptophyte
651,M,Therophyte
652,H,Therophyte
653,H,Therophyte
654,H,Therophyte
655,C,Chamaephyte
655,H,Chamaephyte
656,C,Hemicryptophyte
656,P,Hemicryptophyte
657,C,Hemicryptophyte
657,P,Hemicryptophyte
658,C,Hemicryptophyte
661,C,Chamaephyte
661,H,Chamaephyte
663,C,Chamaephyte
663,H,Chamaephyte
664,C,Hemicryptophyte
664,H,Hemicryptophyte
665,C,Therophyte
665,P,Therophyte
666,H,Therophyte
666,P,Therophyte
667,G,Therophyte
667,P,Therophyte
668,M,Therophyte
669,C,Therophyte
670,C,Therophyte
671,M,Therophyte
672,C,Therophyte
672,P,Therophyte
673,H,Hemicryptophyte
674,C,Therophyte
674,P,Therophyte
675,H,Therophyte
676,G,Therophyte
676,H,Therophyte
676,P,Therophyte
677,P,Chamaephyte
678,P,Geophyte (Cryptophyte)
678,W,Geophyte (Cryptophyte)
679,P,Hemicryptophyte
680,R,Geophyte (Cryptophyte)
680,W,Geophyte (Cryptophyte)
681,W,Geophyte (Cryptophyte)
682,W,Hemicryptophyte
683,W,Hemicryptophyte
684,W,Hemicryptophyte
685,W,Geophyte (Cryptophyte)
686,R,Hemicryptophyte
686,W,Hemicryptophyte
687,W,Geophyte (Cryptophyte)
688,W,Geophyte (Cryptophyte)
689,W,Geophyte (Cryptophyte)
690,P,Hemicryptophyte
691,W,Geophyte (Cryptophyte)
692,W,Geophyte (Cryptophyte)
693,W,Geophyte (Cryptophyte)
694,W,Phanerophyte
695,G,Hemicryptophyte
695,H,Hemicryptophyte
696,G,Hemicryptophyte
697,C,Hemicryptophyte
698,M,Hemicryptophyte
699,G,Hemicryptophyte
700,G,Hemicryptophyte
701,G,Hemicryptophyte
701,P,Hemicryptophyte
702,G,Hemicryptophyte
702,H,Hemicryptophyte
703,G,Hemicryptophyte
703,P,Hemicryptophyte
704,G,Chamaephyte
704,H,Chamaephyte
705,G,Chamaephyte
706,R,Therophyte
707,P,Chamaephyte
708,G,Chamaephyte
709,P,Chamaephyte
710,M,Chamaephyte
711,M,Chamaephyte
712,G,Hemicryptophyte
712,R,Hemicryptophyte
713,H,Hemicryptophyte
714,R,Hemicryptophyte
715,R,Hemicryptophyte
716,M,Chamaephyte
717,R,Geophyte (Cryptophyte)
718,P,Geophyte (Cryptophyte)
719,W,Geophyte (Cryptophyte)
720,W,Geophyte (Cryptophyte)
721,R,Geophyte (Cryptophyte)
722,W,Geophyte (Cryptophyte)
723,H,Geophyte (Cryptophyte)
723,W,Geophyte (Cryptophyte)
724,G,Geophyte (Cryptophyte)
724,P,Geophyte (Cryptophyte)
724,W,Geophyte (Cryptophyte)
725,G,Geophyte (Cryptophyte)
725,P,Geophyte (Cryptophyte)
725,W,Geophyte (Cryptophyte)
726,W,Geophyte (Cryptophyte)
727,G,Geophyte (Cryptophyte)
727,P,Geophyte (Cryptophyte)
728,W,Geophyte (Cryptophyte)
729,R,Geophyte (Cryptophyte)
730,W,Geophyte (Cryptophyte)
731,W,Hemicryptophyte
733,P,Geophyte (Cryptophyte)
733,R,Geophyte (Cryptophyte)
735,W,Geophyte (Cryptophyte)
736,R,Chamaephyte
737,R,Hemicryptophyte
738,W,Chamaephyte
739,P,Chamaephyte
739,W,Chamaephyte
740,P,Chamaephyte
740,W,Chamaephyte
741,M,Chamaephyte
742,M,Chamaephyte
743,G,Chamaephyte
743,R,Chamaephyte
744,W,Chamaephyte
745,W,Chamaephyte
746,W,Chamaephyte
747,R,Therophyte
748,P,Chamaephyte
749,C,Chamaephyte
750,C,Hemicryptophyte
750,G,Hemicryptophyte
750,H,Hemicryptophyte
751,G,Hemicryptophyte
752,C,Hemicryptophyte
752,H,Hemicryptophyte
753,G,Hemicryptophyte
754,G,Hemicryptophyte
754,H,Hemicryptophyte
755,R,Therophyte
756,C,Hemicryptophyte
757,C,Chamaephyte
757,H,Chamaephyte
758,C,Chamaephyte
758,H,Chamaephyte
759,G,Chamaephyte
760,P,Hemicryptophyte
760,W,Hemicryptophyte
761,C,Chamaephyte
762,C,Chamaephyte
762,P,Chamaephyte
763,G,Hemicryptophyte
764,C,Chamaephyte
765,C,Chamaephyte
766,H,Chamaephyte
767,W,Hemicryptophyte
